A,"Agilent Technologies, Inc. provides bio-analytical and electronic measurement solutions and services to the life sciences, chemical analysis, diagnostics and genomics, communications, and electronics industries worldwide."
AA,"Alcoa Inc. produces and manages primary aluminum, fabricated aluminum, and alumina."
AAME,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States. Its property and casualty insurance products include business automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; and personal property, inland marine, and general liability products."
AAN,"Aaron's, Inc. operates as a specialty retailer of consumer electronics, computers, residential furniture, household appliances, and accessories in the United States and Canada."
AAON,"AAON, Inc., together with its subsidiaries, manufactures and sells air-conditioning and heating equipment in the United States and Canada."
AAP,"Advance Auto Parts, Inc., through its subsidiaries, operates as a specialty retailer of automotive aftermarket parts, accessories, batteries, and maintenance items."
AAT,"American Assets Trust, Inc. operates as a real estate investment trust in the United States."
AAPL,"Apple Inc. and its wholly-owned subsidiaries design, manufacture, and market mobile communication and media devices, personal computers, and portable digital music players worldwide."
AAWW,"Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services worldwide."
ABAX,"Abaxis, Inc. develops, manufactures, markets, and sells portable blood analysis systems for use in human or veterinary patient care settings to provide blood constituent measurements for clinicians worldwide."
ABC,"AmerisourceBergen Corporation sources and distributes pharmaceutical products to healthcare providers, pharmaceutical and biotech manufacturers, and specialty drug patients in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers."
ABCB,"Ameris Bancorp operates as the holding company for the Ameris Bank that provides a range of banking services to retail and commercial customers. Its deposit products include commercial and retail checking accounts, regular interest-bearing savings accounts, money market accounts, individual retirement accounts, certificates of deposit, and negotiable order of withdrawal accounts."
ABCD,"Cambium Learning Group, Inc. operates as an educational solutions and services company in the United States."
ABCO,"The Advisory Board Company provides best practices research and analysis, business intelligence and performance technology software, and consulting and management services to the health care and education industries in the United States and internationally. Its best practices research and insight programs include access to studies, executive education, proprietary databases and online services, executive briefings, and other services."
AB,"AllianceBernstein Holding L.P. provides investment management and related services in the United States and internationally"
ABG,"Asbury Automotive Group, Inc. operates as an automotive retailer in the United States."
ABIO,"ARCA biopharma, Inc., a biopharmaceutical company, focuses on developing genetically-targeted therapies for cardiovascular diseases."
ABM,"ABM Industries Incorporated provides integrated facility solutions services in the United States and internationally. It offers carpet cleaning and dusting, floor cleaning and finishing, furniture polishing, window washing, and other building cleaning services for airports and other transportation centers, educational institutions, health facilities, retail stores, shopping centers, stadiums and arenas, and warehouses, as well as commercial office, government, and industrial buildings."
ABMC,"American Bio Medica Corporation develops, manufactures, and sells immunoassay tests for the immediate point of collection testing (POCT) for drugs of abuse (DOA) in urine and oral fluids. It provides urine-based POCT products that comprise Rapid Drug Screen to detect the presence or absence of 2 to 10 DOA; Rapid ONE for testing the presence or absence of a single DOA; RDS InCup, which detects the presence or absence of 2 to 12 DOA; Rapid TOX that detects the presence or absence of 2 to 10 DOA; and Rapid TOX Cup II for detecting the presence or absence of 2 to 14 DOA."
ABMD,"ABIOMED, Inc. provides medical devices in circulatory support and continuum of care in heart recovery to acute heart failure patients."
ABPI,"Accentia Biopharmaceuticals, Inc., a biotechnology company, primarily discovers, develops, and commercializes immunotherapies to treat autoimmune related diseases and cancer in the United States."
ABT,"Abbott Laboratories is engaged in the discovery, development, manufacture, and sale of health care products worldwide. Its Established Pharmaceutical Products segment offers branded generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome, intrahepatic cholestasis or depressive symptoms, gynecological disorders, dyslipidemia, hypertension, hypothyroidism, pain, fever, and inflammation; and regulates physiological rhythm of the colon, as well as provides hormone replacement therapy and anti-infective and influenza vaccines."
ABTL,"Autobytel Inc. operates as an automotive marketing services company in the United States."
ACAD,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in neurological and related central nervous system disorders."
ACAT,"Arctic Cat Inc. designs, engineers, manufactures, and markets snowmobiles and all-terrain vehicles (ATVs), and recreational off-highway vehicles under the Arctic Cat brand name."
ABR,"Arbor Realty Trust, Inc. operates as a real estate investment trust (REIT) in the United States."
ACC,"American Campus Communities, Inc. is an independent equity real estate investment trust."
ACE,"ACE Limited, through its subsidiaries, provides a range of insurance and reinsurance products to insureds worldwide. Its Insurance  North American P&C segment offers various property and casualty (P&C), accident and health, and risk management products and services; property, general, umbrella, and excess liability; workers compensation, homeowners, commercial and recreational marine, automobile liability, professional lines directors and officers, errors and omissions, surety, medical liability, environmental, inland marine, and aerospace insurance; and claims and risk management products and services."
ACET,"Aceto Corporation, together with its subsidiaries, sources, markets, sells, and distributes pharmaceutical intermediates and active ingredients, finished dosage form generics, nutraceutical products, agricultural protection products, and specialty chemicals. The company operates in three segments: Human Health, Pharmaceutical Ingredients, and Performance Chemicals."
ACFC,"Atlantic Coast Financial Corporation operates as the bank holding company for Atlantic Coast Bank that provides various banking services to individual and business customers primarily in northeastern Florida and southeastern Georgia. Its deposit products include checking accounts, savings accounts, money market accounts, demand deposit accounts, time deposit accounts, and certificates of deposit."
ACFN,"Acorn Energy, Inc., through its subsidiaries, provides technology driven solutions for energy infrastructure asset management worldwide."
ACCO,"ACCO Brands Corporation manufactures and markets office, school, and calendar products, and select computer and electronic accessories primarily in the Unites States, Northern Europe, Canada, Australia, Brazil, and Mexico. The company operates through three segments: ACCO Brands North America, ACCO Brands International, and Computer Products Group."
ACGL,"Arch Capital Group Ltd., through its subsidiaries, provides insurance and reinsurance solutions worldwide."
ACHC,"Acadia Healthcare Company, Inc. develops and operates inpatient psychiatric facilities, residential treatment centers, group homes, and substance abuse facilities in the United States."
ACHN,"Achillion Pharmaceuticals, Inc., a biopharmaceutical company, discovers, develops, and commercializes anti-infective drug therapies in the United States and internationally."
ACI,"Arch Coal, Inc. produces and sells thermal and metallurgical coal from surface and underground mines located in the United States."
ACIW,"ACI Worldwide, Inc. develops, markets, installs, and supports software products and services for facilitating electronic payments worldwide."
ACM,"AECOM Technology Corporation, together with its subsidiaries, provides professional technical and management support services for public and private clients in worldwide. The company operates through two segments, Professional Technical Services (PTS) and Management Support Services (MSS)."
ACLS,"Axcelis Technologies, Inc. designs, manufactures, and services ion implantation, dry strip, and other processing equipment used in the fabrication of semiconductor chips worldwide."
ACMP,"Access Midstream Partners, L.P."
ACN,"Accenture plc provides management consulting, technology, and business process outsourcing (BPO) services worldwide. The company operates through Communications, Media & Technology; Financial Services; Health & Public Service; Products; and Resources segments."
ACNB,"ACNB Corporation, through its subsidiaries, provides various banking and financial services to individuals and businesses in the United States. It accepts various deposit products, including money market accounts, interest bearing demand, non-interest bearing demand, savings, and time deposits."
ACOR,"Acorda Therapeutics, Inc., a biopharmaceutical company, identifies, develops, and commercializes novel therapies for multiple sclerosis (MS), spinal cord injury (SCI), and other disorders of the nervous system in the United States."
ACPW,"Active Power, Inc., together with its subsidiaries, designs, manufactures, and sells flywheel-based uninterruptible power supply (UPS) products and modular infrastructure solutions."
ACRE,"Ares Commercial Real Estate Corporation, a specialty finance company, is engaged in principal lending and mortgage banking of commercial real estate (CRE) investments. The company operates in two segments: Principal Lending and Mortgage Banking."
ACRX,"AcelRx Pharmaceuticals, Inc., a development stage specialty pharmaceutical company, focuses on the development and commercialization of therapies for the treatment of acute and breakthrough pain (BTP)."
ACTG,"Acacia Research Corporation, through its subsidiaries, acquires, develops, licenses, and enforces patented technologies in the United States. It assists patent owners with the prosecution and development of their patent portfolios; protection of their patented inventions from unauthorized use; generation of licensing revenue from users of their patented technologies; and enforcement against unauthorized users of their patented technologies."
ACU,"Acme United Corporation, together with its subsidiaries, supplies cutting, measuring, and first aid products to the school, home, office, hardware, sporting goods, and industrial markets in the United States, Canada, Europe, and Asia. The company offers scissors, rulers, pencil sharpeners, paper trimmers, lettering products, and math tools under the Westcott brand name."
ACUR,"Acura Pharmaceuticals, Inc., a specialty pharmaceutical company, researches, develops, and commercializes products to address medication abuse and misuse utilizing its proprietary Aversion and Impede technologies."
ACW,"Accuride Corporation, together with its subsidiaries, designs, manufactures, and distributes commercial vehicle components in North America. Its products include commercial vehicle wheels, wheel-end components and assemblies, and ductile and gray iron castings."
ACXM,"Acxiom Corporation operates as an enterprise data, analytics, and software-as-a-service company in the United States, Europe, South America, and the Asia-Pacific. The company operates in three segments: Marketing and Data Services, IT Infrastructure Management, and Other Services."
ACY,"AeroCentury Corp. acquires and invests in used regional aircraft and aircraft engines for lease to regional carriers worldwide."
ADAT,"Authentidate Holding Corp. provides Web-based software applications, and telehealth products and services in the United States."
ADBE,"Adobe Systems Incorporated operates as a diversified software company worldwide. It operates in three segments: Digital Media, Digital Marketing, and Print and Publishing."
ADC,"Agree Realty Corporation, a real estate investment trust (REIT), engages in the ownership, development, acquisition, and management of retail properties, which are primarily leased to national and regional retail companies in the United States. As of December 31, 2009, its portfolio consisted of 73 properties, including 61 freestanding net leased properties and 12 community shopping centers located in 16 states containing approximately 3."
ADEP,"Adept Technology, Inc., together with its subsidiaries, designs, manufactures, and sells industrial and mobile robots for semiconductor, warehouse, logistics, food, and small parts flexible manufacturing markets worldwide."
ADES,"Advanced Emissions Solutions, Inc., together with its subsidiaries, provides environmental technologies and specialty chemicals to the coal-burning electric power generation industry primarily in the United States."
ADI,"Analog Devices, Inc. is engaged in the design, manufacture, and marketing of analog, mixed-signal, and digital signal processing integrated circuits (ICs) for use in industrial, automotive, consumer, and communication markets worldwide."
ADK,"AdCare Health Systems, Inc., through its subsidiaries, owns and manages skilled nursing facilities and assisted living facilities in Alabama, Arkansas, Georgia, Missouri, North Carolina, Ohio, Oklahoma, and South Carolina."
ADM,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities and products. The companys Oilseeds Processing segment originates, merchandises, crushes, and processes soybeans and soft seeds into vegetable oils and protein meals."
ADNC,"Audience, Inc. provides voice and audio solutions for mobile devices in Korea, China, the United States, and internationally."
ADP,"Automatic Data Processing, Inc., together with its subsidiaries, provides technology-based outsourcing solutions to employers and vehicle retailers and manufacturers worldwide."
