Dummy,File
DBD,"Diebold, Incorporated",Technology,Diversified Computer Systems,WIKI/DBD,stocks/dbd
DBLE,Double Eagle Petroleum Co.,,,NA,stocks/dble
DBLEP,Double Eagle Petroleum Co.,,,NA,NA
DCI,"Donaldson Company, Inc.",Industrial Goods,Pollution & Treatment Controls,WIKI/DCI,stocks/dci
DCO,Ducommun Inc.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/DCO,stocks/dco
DCOM,Dime Community Bancshares Inc.,Financial,Savings & Loans,WIKI/DCOM,stocks/dcom
DCT,DCT Industrial Trust Inc.,Financial,REIT - Industrial,NA,stocks/dct
DCTH,"Delcath Systems, Inc.",Healthcare,Drug Delivery,NA,stocks/dcth
DD,E. I. du Pont de Nemours and Company,Basic Materials,Agricultural Chemicals,WIKI/DD,stocks/dd
DDD,3D Systems Corp.,Technology,Computer Peripherals,WIKI/DDD,stocks/ddd
DDDC,"deltathree, Inc.",Technology,Diversified Communication Services,NA,stocks/dddc
DDE,Dover Downs Gaming & Entertainment Inc.,Services,Gaming Activities,NA,stocks/dde
DDR,DDR Corp.,Financial,REIT - Retail,NA,stocks/ddr
DDS,Dillard's Inc.,Services,Department Stores,WIKI/DDS,stocks/dds
DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,WIKI/DE,stocks/de
DECK,Deckers Outdoor Corp.,Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/DECK,stocks/deck
DEER,"Deer Consumer Products, Inc.",Consumer Goods,Home Furnishings & Fixtures,NA,stocks/deer
DEI,Douglas Emmett Inc,Financial,REIT - Diversified,NA,stocks/dei
DEL,Deltic Timber Corporation,Industrial Goods,"Lumber, Wood Production",WIKI/DEL,stocks/del
DENN,Denny's Corporation,Services,Restaurants,WIKI/DENN,stocks/denn
DEPO,DepoMed Inc.,Healthcare,Drug Manufacturers - Other,WIKI/DEPO,stocks/depo
DEST,Destination Maternity Corporation,Services,Apparel Stores,WIKI/DEST,stocks/dest
DF,Dean Foods Company,Consumer Goods,Dairy Products,WIKI/DF,stocks/df
DFS,Discover Financial Services,Financial,Credit Services,WIKI/DFS,stocks/dfs
DFT,"DuPont Fabros Technology, Inc.",Financial,REIT - Office,NA,stocks/dft
DFZ,R.G. Barry Corporation,Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/DFZ,stocks/dfz
DG,Dollar General Corporation,Services,"Discount, Variety Stores",WIKI/DG,stocks/dg
DGI,"DigitalGlobe, Inc.",Industrial Goods,Aerospace/Defense Products & Services,WIKI/DGI,stocks/dgi
DGAS,"Delta Natural Gas Company, Inc.",Utilities,Gas Utilities,WIKI/DGAS,stocks/dgas
DGICA,Donegal Group Inc.,,,WIKI/DGICA,stocks/dgica
DGICB,Donegal Group Inc.,Financial,Property & Casualty Insurance,NA,stocks/dgicb
DGII,Digi International Inc.,Technology,Networking & Communication Devices,WIKI/DGII,stocks/dgii
DGIT,"Digital Generation, Inc.",,,NA,stocks/dgit
DGLY,Digital Ally Inc.,Technology,Scientific & Technical Instruments,NA,stocks/dgly
DGSE,DGSE Companies Inc.,Services,Jewelry Stores,NA,stocks/dgse
DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,WIKI/DGX,stocks/dgx
DHI,DR Horton Inc.,Industrial Goods,Residential Construction,WIKI/DHI,stocks/dhi
DHIL,Diamond Hill Investment Group Inc.,Financial,Asset Management,WIKI/DHIL,stocks/dhil
DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,WIKI/DHR,stocks/dhr
DHX,"Dice Holdings, Inc.",Services,Staffing & Outsourcing Services,WIKI/DHX,stocks/dhx
DHRM,Dehaier Medical Systems Limited,Healthcare,Medical Appliances & Equipment,NA,stocks/dhrm
DIET,Ediets.com Inc.,,,NA,stocks/diet
DIN,"DineEquity, Inc.",Services,Restaurants,WIKI/DIN,stocks/din
DIOD,Diodes Incorporated,Technology,Semiconductor - Integrated Circuits,WIKI/DIOD,stocks/diod
DISCA,"Discovery Communications, Inc.",Services,CATV Systems,WIKI/DISCA,stocks/disca
DISCB,"Discovery Communications, Inc.",,,NA,NA
DISCK,"Discovery Communications, Inc.",,,NA,NA
DISH,Dish Network Corp.,Services,CATV Systems,WIKI/DISH,stocks/dish
DIS,The Walt Disney Company,Services,Entertainment - Diversified,WIKI/DIS,stocks/dis
DJCO,Daily Journal Corp.,Services,Publishing - Newspapers,WIKI/DJCO,stocks/djco
DIT,AMCON Distributing Co.,Services,Food Wholesale,NA,stocks/dit
DK,"Delek US Holdings, Inc.",Basic Materials,Oil & Gas Refining & Marketing,WIKI/DK,stocks/dk
DKL,"Delek Logistics Partners, LP",Basic Materials,Independent Oil & Gas,NA,stocks/dkl
DKS,Dick's Sporting Goods Inc.,Services,Sporting Goods Stores,WIKI/DKS,stocks/dks
DLB,"Dolby Laboratories, Inc.",Technology,Diversified Electronics,WIKI/DLB,stocks/dlb
DLA,Delta Apparel Inc.,Consumer Goods,Textile - Apparel Clothing,NA,stocks/dla
DLGC,"Dialogic, Inc.",Technology,Communication Equipment,NA,stocks/dlgc
DLLR,DFC Global Corp.,Financial,Credit Services,WIKI/DLLR,stocks/dllr
DLIA,"dELiA*s, Inc.",Services,Catalog & Mail Order Houses,NA,stocks/dlia
DLHC,DLH Holdings Corp.,Services,Staffing & Outsourcing Services,NA,stocks/dlhc
DLPH,Delphi Automotive PLC,Consumer Goods,Auto Parts,WIKI/DLPH,stocks/dlph
DLR,Digital Realty Trust Inc.,Financial,REIT - Office,NA,NA
DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",WIKI/DLTR,stocks/dltr
DLX,Deluxe Corp.,Services,Business Services,WIKI/DLX,stocks/dlx
DMD,"Demand Media, Inc.",Technology,Internet Software & Services,WIKI/DMD,stocks/dmd
DMLP,Dorchester Minerals LP,Financial,Diversified Investments,NA,stocks/dmlp
DMRC,Digimarc Corporation,Technology,Information Technology Services,WIKI/DMRC,stocks/dmrc
